185019170,869,214,5/18/23(Thu)22:56
185019095,791,200,5/18/23(Thu)22:55
185017517,662,182,5/18/23(Thu)22:23
185014571,764,239,5/18/23(Thu)21:33
185014501,792,241,5/18/23(Thu)21:32
185010675,690,232,5/18/23(Thu)20:38
185008945,942,265,5/18/23(Thu)20:09
185008941,6,7,5/18/23(Thu)20:09
185008926,749,272,5/18/23(Thu)20:09
185008577,840,288,5/18/23(Thu)20:03
185006926,889,248,5/18/23(Thu)19:38
185004916,957,255,5/18/23(Thu)19:07
185001148,1071,306,5/18/23(Thu)18:16
185001101,897,239,5/18/23(Thu)18:16
184999487,935,257,5/18/23(Thu)17:55
184998023,853,233,5/18/23(Thu)17:35
184995616,943,216,5/18/23(Thu)16:53
184993372,802,195,5/18/23(Thu)16:12
184990476,735,203,5/18/23(Thu)15:13
184988206,708,197,5/18/23(Thu)14:24
184985493,870,186,5/18/23(Thu)13:21
184981889,941,182,5/18/23(Thu)11:44
184978777,738,162,5/18/23(Thu)10:15
184975364,657,125,5/18/23(Thu)8:13
184972208,579,124,5/18/23(Thu)6:00
184969913,2,2,5/18/23(Thu)4:20
184969889,787,153,5/18/23(Thu)4:20
184968876,346,98,5/18/23(Thu)3:44
184966331,824,159,5/18/23(Thu)2:26
184964874,628,148,5/18/23(Thu)1:41
184962930,750,170,5/18/23(Thu)0:46
184961525,644,164,5/18/23(Thu)0:15
185193916,318,116,5/21/23(Sun)21:41
185192062,718,176,5/21/23(Sun)21:03
185189964,718,171,5/21/23(Sun)20:18
185187926,813,189,5/21/23(Sun)19:37
185185265,1054,240,5/21/23(Sun)18:48
185183464,889,217,5/21/23(Sun)18:19
185181789,625,168,5/21/23(Sun)17:49
185181615,9,9,5/21/23(Sun)17:45
185180175,599,182,5/21/23(Sun)17:16
185178458,563,155,5/21/23(Sun)16:42
185176437,591,161,5/21/23(Sun)16:04
185173980,601,152,5/21/23(Sun)15:20
185172037,627,150,5/21/23(Sun)14:42
185169913,636,166,5/21/23(Sun)13:59
185169909,7,8,5/21/23(Sun)13:59
185167195,699,155,5/21/23(Sun)12:58
185164220,752,156,5/21/23(Sun)11:47
185160687,675,154,5/21/23(Sun)10:12
185157213,753,142,5/21/23(Sun)8:16
185154201,697,122,5/21/23(Sun)6:06
185151623,729,129,5/21/23(Sun)4:36
185149437,820,143,5/21/23(Sun)3:30
185146989,964,164,5/21/23(Sun)2:20
185145127,777,190,5/21/23(Sun)1:36
185143123,1108,276,5/21/23(Sun)0:56
185141119,1024,273,5/21/23(Sun)0:20
185139043,979,271,5/20/23(Sat)23:41
185137359,847,250,5/20/23(Sat)23:13
185135642,1077,271,5/20/23(Sat)22:46
185134129,841,219,5/20/23(Sat)22:19
185132166,880,220,5/20/23(Sat)21:41
185130364,20,16,5/20/23(Sat)21:11
185130329,813,216,5/20/23(Sat)21:10
185128289,819,234,5/20/23(Sat)20:35
185126828,708,203,5/20/23(Sat)20:08
185125083,653,195,5/20/23(Sat)19:34
185122675,772,199,5/20/23(Sat)18:47
185120427,792,190,5/20/23(Sat)18:06
185118224,951,214,5/20/23(Sat)17:27
185116283,767,215,5/20/23(Sat)16:52
185113197,655,192,5/20/23(Sat)15:56
185113193,762,208,5/20/23(Sat)15:56
185111556,781,214,5/20/23(Sat)15:27
185109808,778,212,5/20/23(Sat)14:57
185107917,623,176,5/20/23(Sat)14:16
185105328,711,164,5/20/23(Sat)13:15
185102325,766,163,5/20/23(Sat)11:56
185098909,686,136,5/20/23(Sat)10:09
185093283,680,139,5/20/23(Sat)7:12
185093264,737,101,5/20/23(Sat)7:11
185090459,641,130,5/20/23(Sat)5:18
185088506,790,135,5/20/23(Sat)4:13
185086921,825,154,5/20/23(Sat)3:27
185085346,863,177,5/20/23(Sat)2:50
185084115,770,171,5/20/23(Sat)2:19
185082393,762,155,5/20/23(Sat)1:31
185081185,577,148,5/20/23(Sat)1:00
185079779,731,198,5/20/23(Sat)0:28
185077969,776,188,5/19/23(Fri)23:48
185076358,627,168,5/19/23(Fri)23:13
185074642,684,173,5/19/23(Fri)22:34
185073260,524,143,5/19/23(Fri)22:00
185071183,689,175,5/19/23(Fri)21:16
185069536,650,175,5/19/23(Fri)20:44
185065640,676,160,5/19/23(Fri)19:21
185065638,687,156,5/19/23(Fri)19:21
185063670,721,188,5/19/23(Fri)18:43
185061523,801,202,5/19/23(Fri)18:02
185059305,775,192,5/19/23(Fri)17:14
185057155,672,177,5/19/23(Fri)16:28
185055125,698,159,5/19/23(Fri)15:45
185053135,568,150,5/19/23(Fri)15:04
185051600,559,153,5/19/23(Fri)14:27
185048811,736,172,5/19/23(Fri)13:20
185048704,31,22,5/19/23(Fri)13:17
185046360,793,175,5/19/23(Fri)12:17
185043808,743,153,5/19/23(Fri)11:11
185037882,765,139,5/19/23(Fri)7:59
185037878,691,146,5/19/23(Fri)7:59
185034684,683,144,5/19/23(Fri)5:49
185032233,904,156,5/19/23(Fri)4:32
185029518,996,179,5/19/23(Fri)3:05
185029494,47,35,5/19/23(Fri)3:04
185026986,934,181,5/19/23(Fri)1:53
185024726,901,181,5/19/23(Fri)0:51
185023253,502,151,5/19/23(Fri)0:16
185193916,334,116,5/21/23(Sun)21:41
185192062,720,176,5/21/23(Sun)21:03
185189964,718,171,5/21/23(Sun)20:18
185187926,813,189,5/21/23(Sun)19:37
185185265,1054,240,5/21/23(Sun)18:48
185183464,889,217,5/21/23(Sun)18:19
185181789,625,168,5/21/23(Sun)17:49
185181615,9,9,5/21/23(Sun)17:45
185180175,599,182,5/21/23(Sun)17:16
185178458,563,155,5/21/23(Sun)16:42
185176437,591,161,5/21/23(Sun)16:04
185173980,601,152,5/21/23(Sun)15:20
185172037,627,150,5/21/23(Sun)14:42
185169913,636,166,5/21/23(Sun)13:59
185169909,7,8,5/21/23(Sun)13:59
185167195,699,155,5/21/23(Sun)12:58
185164220,752,156,5/21/23(Sun)11:47
185160687,675,154,5/21/23(Sun)10:12
185157213,753,142,5/21/23(Sun)8:16
185154201,697,122,5/21/23(Sun)6:06
185151623,729,129,5/21/23(Sun)4:36
185149437,820,143,5/21/23(Sun)3:30
185146989,964,164,5/21/23(Sun)2:20
185145127,777,190,5/21/23(Sun)1:36
185143123,1108,276,5/21/23(Sun)0:56
185141119,1024,273,5/21/23(Sun)0:20
185139043,979,271,5/20/23(Sat)23:41
185137359,847,250,5/20/23(Sat)23:13
185135642,1077,271,5/20/23(Sat)22:46
185134129,841,219,5/20/23(Sat)22:19
185132166,880,220,5/20/23(Sat)21:41
185130364,20,16,5/20/23(Sat)21:11
185130329,813,216,5/20/23(Sat)21:10
185128289,819,234,5/20/23(Sat)20:35
185126828,708,203,5/20/23(Sat)20:08
185125083,653,195,5/20/23(Sat)19:34
185122675,772,199,5/20/23(Sat)18:47
185120427,792,190,5/20/23(Sat)18:06
185118224,951,214,5/20/23(Sat)17:27
185116283,767,215,5/20/23(Sat)16:52
185113197,655,192,5/20/23(Sat)15:56
185113193,762,208,5/20/23(Sat)15:56
185111556,781,214,5/20/23(Sat)15:27
185109808,778,212,5/20/23(Sat)14:57
185107917,623,176,5/20/23(Sat)14:16
185105328,711,164,5/20/23(Sat)13:15
185102325,766,163,5/20/23(Sat)11:56
185098909,686,136,5/20/23(Sat)10:09
185093283,680,139,5/20/23(Sat)7:12
185093264,737,101,5/20/23(Sat)7:11
185090459,641,130,5/20/23(Sat)5:18
185088506,790,135,5/20/23(Sat)4:13
185086921,825,154,5/20/23(Sat)3:27
185085346,863,177,5/20/23(Sat)2:50
185084115,770,171,5/20/23(Sat)2:19
185082393,762,155,5/20/23(Sat)1:31
185081185,577,148,5/20/23(Sat)1:00
185079779,731,198,5/20/23(Sat)0:28
185077969,776,188,5/19/23(Fri)23:48
185076358,627,168,5/19/23(Fri)23:13
185074642,684,173,5/19/23(Fri)22:34
185073260,524,143,5/19/23(Fri)22:00
185071183,689,175,5/19/23(Fri)21:16
185069536,650,175,5/19/23(Fri)20:44
185065640,676,160,5/19/23(Fri)19:21
185065638,687,156,5/19/23(Fri)19:21
185063670,721,188,5/19/23(Fri)18:43
185061523,801,202,5/19/23(Fri)18:02
185059305,775,192,5/19/23(Fri)17:14
185057155,672,177,5/19/23(Fri)16:28
185055125,698,159,5/19/23(Fri)15:45
185053135,568,150,5/19/23(Fri)15:04
185051600,559,153,5/19/23(Fri)14:27
185048811,736,172,5/19/23(Fri)13:20
185048704,31,22,5/19/23(Fri)13:17
185046360,793,175,5/19/23(Fri)12:17
185043808,743,153,5/19/23(Fri)11:11
185037882,765,139,5/19/23(Fri)7:59
185037878,691,146,5/19/23(Fri)7:59
185034684,683,144,5/19/23(Fri)5:49
185032233,904,156,5/19/23(Fri)4:32
185029518,996,179,5/19/23(Fri)3:05
185029494,47,35,5/19/23(Fri)3:04
185026986,934,181,5/19/23(Fri)1:53
185024726,901,181,5/19/23(Fri)0:51
185023253,502,151,5/19/23(Fri)0:16
