
184740781,924,185,5/13/23(Sat)23:48
184739151,801,198,5/13/23(Sat)23:10
184735732,775,188,5/13/23(Sat)21:58
184735729,838,191,5/13/23(Sat)21:58
184732850,734,183,5/13/23(Sat)20:47
184730883,714,183,5/13/23(Sat)20:01
184727874,828,204,5/13/23(Sat)18:59
184725339,776,196,5/13/23(Sat)18:20
184723031,901,269,5/13/23(Sat)17:47
184718308,1103,248,5/13/23(Sat)16:38
184718014,0,1,5/13/23(Sat)16:32
184716946,0,1,5/13/23(Sat)16:15
184715338,804,192,5/13/23(Sat)15:45
184713139,757,189,5/13/23(Sat)15:01
184711470,651,181,5/13/23(Sat)14:25
184709156,707,179,5/13/23(Sat)13:27
184707130,628,156,5/13/23(Sat)12:30
184704385,765,140,5/13/23(Sat)11:22
184701222,724,138,5/13/23(Sat)9:40
184698265,707,144,5/13/23(Sat)7:37
184695059,998,154,5/13/23(Sat)5:38
184690781,1057,186,5/13/23(Sat)3:21
184690755,1162,219,5/13/23(Sat)3:20
184688808,1057,199,5/13/23(Sat)2:35
184687106,914,188,5/13/23(Sat)1:52
184685274,60,38,5/13/23(Sat)1:05
184685243,969,195,5/13/23(Sat)1:04
184683600,753,172,5/13/23(Sat)0:21
184681776,763,185,5/12/23(Fri)23:34
184680028,746,179,5/12/23(Fri)22:55
184676101,791,172,5/12/23(Fri)21:26
184676085,793,207,5/12/23(Fri)21:26
184674026,754,203,5/12/23(Fri)20:40
184672061,844,220,5/12/23(Fri)20:02
184670278,828,241,5/12/23(Fri)19:32
184668566,926,226,5/12/23(Fri)19:01
184666691,853,188,5/12/23(Fri)18:27
184664319,786,200,5/12/23(Fri)17:35
184662356,15,13,5/12/23(Fri)16:56
184662337,777,201,5/12/23(Fri)16:56
184658246,829,196,5/12/23(Fri)15:32
184655308,941,206,5/12/23(Fri)14:27
184652673,849,180,5/12/23(Fri)13:20
184648870,799,182,5/12/23(Fri)11:33
184645007,742,125,5/12/23(Fri)9:40
184641786,605,130,5/12/23(Fri)7:33
184638388,914,147,5/12/23(Fri)5:07
184635749,1186,204,5/12/23(Fri)3:39
184633664,930,203,5/12/23(Fri)2:40
184632013,768,171,5/12/23(Fri)1:57
184630798,790,199,5/12/23(Fri)1:26
184627530,655,171,5/12/23(Fri)0:03
184626335,849,215,5/11/23(Thu)23:31
184625998,537,156,5/11/23(Thu)23:24
184624069,939,210,5/11/23(Thu)22:40
184621729,939,218,5/11/23(Thu)21:51
184620192,685,180,5/11/23(Thu)21:20
184618599,739,207,5/11/23(Thu)20:46
184616409,893,218,5/11/23(Thu)20:00
184614466,906,224,5/11/23(Thu)19:23
184612318,918,215,5/11/23(Thu)18:44
184610488,851,233,5/11/23(Thu)18:07
184606107,902,210,5/11/23(Thu)16:51
184604477,827,231,5/11/23(Thu)16:27
184604435,730,222,5/11/23(Thu)16:26
184602556,913,249,5/11/23(Thu)16:00
184600882,2,3,5/11/23(Thu)15:33
184600846,917,240,5/11/23(Thu)15:33
184598644,849,225,5/11/23(Thu)14:53
184596865,852,216,5/11/23(Thu)14:21
184593701,940,222,5/11/23(Thu)13:10
184590137,729,192,5/11/23(Thu)11:38
184586319,780,162,5/11/23(Thu)9:39
184586291,774,169,5/11/23(Thu)9:38
184582392,747,172,5/11/23(Thu)7:09
184579176,766,158,5/11/23(Thu)4:50
184575814,938,212,5/11/23(Thu)3:29
184575768,1004,220,5/11/23(Thu)3:28
184574168,890,222,5/11/23(Thu)2:53
184572694,834,205,5/11/23(Thu)2:19
184571093,846,209,5/11/23(Thu)1:46
184569643,796,215,5/11/23(Thu)1:14
184567877,728,215,5/11/23(Thu)0:36
184566334,797,204,5/11/23(Thu)0:05
184564604,944,226,5/10/23(Wed)23:32
184562538,999,234,5/10/23(Wed)22:53
184560710,951,266,5/10/23(Wed)22:16
184558744,1045,255,5/10/23(Wed)21:35
184556562,1008,279,5/10/23(Wed)21:00
184554760,905,235,5/10/23(Wed)20:31
184552950,770,232,5/10/23(Wed)19:59
184551208,907,251,5/10/23(Wed)19:33
184549391,763,221,5/10/23(Wed)19:00
184548065,513,175,5/10/23(Wed)18:35
184547387,922,216,5/10/23(Wed)18:24
184545022,852,209,5/10/23(Wed)17:38
184543309,684,208,5/10/23(Wed)17:04
184541783,668,204,5/10/23(Wed)16:36
184539956,738,217,5/10/23(Wed)16:00
184538716,49,26,5/10/23(Wed)15:35
184537599,840,234,5/10/23(Wed)15:12
184536302,648,199,5/10/23(Wed)14:44
184536035,1,2,5/10/23(Wed)14:37
184534558,709,211,5/10/23(Wed)14:05
184532561,812,210,5/10/23(Wed)13:23
184530357,788,201,5/10/23(Wed)12:35
184528547,7,6,5/10/23(Wed)11:55
184525504,769,171,5/10/23(Wed)10:35
184522525,806,149,5/10/23(Wed)9:01
184519354,669,124,5/10/23(Wed)6:39
184515777,750,143,5/10/23(Wed)4:01
184513136,866,179,5/10/23(Wed)2:33
184510870,911,201,5/10/23(Wed)1:35
184508797,923,211,5/10/23(Wed)0:45
184505406,894,224,5/9/23(Tue)23:31
184503567,848,211,5/9/23(Tue)22:58
184501654,859,216,5/9/23(Tue)22:22
184498205,872,236,5/9/23(Tue)21:21
184494847,1009,238,5/9/23(Tue)20:31
184494840,1017,210,5/9/23(Tue)20:31
184493914,747,213,5/9/23(Tue)20:16
184493016,889,219,5/9/23(Tue)20:03
184491518,851,237,5/9/23(Tue)19:39
184489895,848,247,5/9/23(Tue)19:11
184488379,770,232,5/9/23(Tue)18:49
184486362,996,264,5/9/23(Tue)18:21
