184797895,533,165,5/15/23(Mon)0:05
184959985,710,181,5/17/23(Wed)23:41
184958382,624,185,5/17/23(Wed)23:03
184956505,720,179,5/17/23(Wed)22:18
184954841,709,189,5/17/23(Wed)21:40
184952310,914,226,5/17/23(Wed)20:46
184950199,816,202,5/17/23(Wed)19:59
184948424,804,201,5/17/23(Wed)19:26
184946554,739,206,5/17/23(Wed)18:52
184943380,604,190,5/17/23(Wed)17:58
184943349,1023,250,5/17/23(Wed)17:58
184941035,1049,258,5/17/23(Wed)17:19
184939101,855,200,5/17/23(Wed)16:40
184936925,794,223,5/17/23(Wed)15:50
184933131,681,194,5/17/23(Wed)14:22
184933074,750,172,5/17/23(Wed)14:21
184930163,988,215,5/17/23(Wed)13:10
184927328,846,201,5/17/23(Wed)12:00
184924176,838,171,5/17/23(Wed)10:37
184919170,895,166,5/17/23(Wed)8:03
184919118,713,120,5/17/23(Wed)8:01
184916087,711,126,5/17/23(Wed)5:55
184913516,756,161,5/17/23(Wed)4:04
184911825,839,195,5/17/23(Wed)3:15
184910411,758,212,5/17/23(Wed)2:39
184907784,2,3,5/17/23(Wed)1:45
184907773,867,255,5/17/23(Wed)1:45
184907766,721,191,5/17/23(Wed)1:44
184906177,856,216,5/17/23(Wed)1:09
184904828,704,176,5/17/23(Wed)0:33
184904824,5,6,5/17/23(Wed)0:33
184903230,758,198,5/16/23(Tue)23:59
184901734,755,202,5/16/23(Tue)23:27
184900317,791,194,5/16/23(Tue)23:05
184898692,868,219,5/16/23(Tue)22:32
184896456,882,193,5/16/23(Tue)21:42
184894527,680,177,5/16/23(Tue)20:57
184892878,608,150,5/16/23(Tue)20:14
184891130,657,188,5/16/23(Tue)19:35
184887225,781,175,5/16/23(Tue)18:16
184885883,657,156,5/16/23(Tue)17:52
184884191,665,170,5/16/23(Tue)17:20
184884155,12,13,5/16/23(Tue)17:20
184882190,770,207,5/16/23(Tue)16:43
184880351,738,198,5/16/23(Tue)16:05
184878096,757,182,5/16/23(Tue)15:15
184876412,0,1,5/16/23(Tue)14:34
184876372,592,150,5/16/23(Tue)14:33
184872775,901,188,5/16/23(Tue)13:03
184872661,47,30,5/16/23(Tue)13:00
184869460,606,136,5/16/23(Tue)11:29
184865866,26,21,5/16/23(Tue)9:27
184865743,559,123,5/16/23(Tue)9:22
184862007,487,116,5/16/23(Tue)6:49
184859356,537,108,5/16/23(Tue)4:34
184857498,601,118,5/16/23(Tue)3:12
184855755,754,159,5/16/23(Tue)2:14
184852640,833,178,5/16/23(Tue)0:40
184850809,666,131,5/15/23(Mon)23:53
184850750,680,166,5/15/23(Mon)23:51
184849014,672,159,5/15/23(Mon)23:03
184843964,755,188,5/15/23(Mon)20:50
184841332,909,192,5/15/23(Mon)19:51
184836618,753,185,5/15/23(Mon)18:11
184836611,697,165,5/15/23(Mon)18:11
184834264,798,199,5/15/23(Mon)17:27
184832253,631,175,5/15/23(Mon)16:47
184830200,634,170,5/15/23(Mon)16:05
184828920,307,108,5/15/23(Mon)15:37
184826617,3,4,5/15/23(Mon)14:48
184824163,24,19,5/15/23(Mon)13:50
184821090,911,172,5/15/23(Mon)12:39
184818461,613,136,5/15/23(Mon)11:22
184814486,566,129,5/15/23(Mon)9:02
184811874,458,102,5/15/23(Mon)7:08
184808442,20,12,5/15/23(Mon)4:45
184808430,568,108,5/15/23(Mon)4:44
184805458,655,138,5/15/23(Mon)3:05
184802328,596,147,5/15/23(Mon)1:45
184801343,825,171,5/15/23(Mon)1:21
184799041,635,166,5/15/23(Mon)0:29
184797895,533,165,5/15/23(Mon)0:05
