183766181,1083,265,2023-04-27 14:11:00
183768842,0,1,2023-04-27 14:49:00
183769081,1013,284,2023-04-27 14:53:00
183773660,852,247,2023-04-27 16:11:00
183773680,5,4,2023-04-27 16:11:00
183778306,1204,326,2023-04-27 17:25:00
183780637,27,23,2023-04-27 18:02:00
183781018,833,254,2023-04-27 18:08:00
183781975,1052,289,2023-04-27 18:23:00
183785304,1077,278,2023-04-27 19:20:00
183788377,1034,278,2023-04-27 20:15:00
183788449,1185,306,2023-04-27 20:16:00
183792802,548,170,2023-04-27 21:31:00
183798799,41,27,2023-04-27 23:23:00
183800825,1024,248,2023-04-28 00:06:00
183803035,1038,223,2023-04-28 01:00:00
183806457,1039,176,2023-04-28 02:42:00
183810378,469,117,2023-04-28 04:54:00
183810419,1075,181,2023-04-28 04:56:00
183816321,1068,211,2023-04-28 08:37:00
183819552,1035,249,2023-04-28 10:08:00
183822053,1106,251,2023-04-28 11:04:00
183825521,816,221,2023-04-28 12:22:00
183827007,622,166,2023-04-28 12:55:00
183827949,690,191,2023-04-28 13:16:00
183828709,7,4,2023-04-28 13:35:00
183829173,8,8,2023-04-28 13:45:00
183831654,826,221,2023-04-28 14:39:00
183836284,162,108,2023-04-28 16:09:00
183836359,762,189,2023-04-28 16:10:00
183839573,801,230,2023-04-28 17:05:00
183841552,828,248,2023-04-28 17:44:00
183843776,656,216,2023-04-28 18:23:00
183844100,174,93,2023-04-28 18:29:00
183845746,925,238,2023-04-28 19:02:00
183848421,827,201,2023-04-28 19:55:00
183850533,23,11,2023-04-28 20:36:00
183850558,35,32,2023-04-28 20:36:00
183850717,3,2,2023-04-28 20:39:00
183850947,711,177,2023-04-28 20:43:00
183853255,892,240,2023-04-28 21:24:00
183857227,977,225,2023-04-28 22:44:00
183859842,954,233,2023-04-28 23:39:00
183862239,930,212,2023-04-29 00:30:00
183862291,1,2,2023-04-29 00:31:00
183864625,919,168,2023-04-29 01:30:00
183864698,16,13,2023-04-29 01:32:00
183866185,1115,212,2023-04-29 02:11:00
183867296,106,37,2023-04-29 02:44:00
183869927,673,120,2023-04-29 04:14:00
183871874,626,132,2023-04-29 05:39:00
183871894,682,147,2023-04-29 05:40:00
183877459,783,179,2023-04-29 09:25:00
183881055,604,154,2023-04-29 11:10:00
183883760,851,183,2023-04-29 12:23:00
183884158,6,7,2023-04-29 12:32:00
183886531,920,201,2023-04-29 13:31:00
183889357,968,212,2023-04-29 14:31:00
183892446,857,191,2023-04-29 15:35:00
183894762,831,201,2023-04-29 16:24:00
183897246,839,224,2023-04-29 17:17:00
183899273,981,221,2023-04-29 18:00:00
183901157,716,204,2023-04-29 18:40:00
183903006,732,197,2023-04-29 19:12:00
183904665,756,197,2023-04-29 19:41:00
183906557,912,210,2023-04-29 20:19:00
183911224,1002,206,2023-04-29 22:05:00
183911875,11,9,2023-04-29 22:17:00
183913693,919,227,2023-04-29 22:58:00
183913714,2,1,2023-04-29 22:58:00
183913903,14,10,2023-04-29 23:02:00
183916237,926,201,2023-04-29 23:55:00
183916257,643,180,2023-04-29 23:55:00
183920452,662,162,2023-04-30 01:44:00
183922417,734,156,2023-04-30 02:42:00
183924183,720,137,2023-04-30 03:37:00
183924196,646,135,2023-04-30 03:37:00
183924870,559,157,2023-04-30 03:57:00
183930795,605,124,2023-04-30 08:05:00
183933783,688,142,2023-04-30 09:48:00
183937065,892,187,2023-04-30 11:23:00
183940626,791,161,2023-04-30 12:44:00
183940642,796,190,2023-04-30 12:44:00
183946813,677,154,2023-04-30 14:54:00
183946930,766,217,2023-04-30 14:57:00
183951367,890,205,2023-04-30 16:23:00
183954394,842,225,2023-04-30 17:28:00
183954453,910,243,2023-04-30 17:29:00
183958376,947,233,2023-04-30 18:37:00
183960927,830,214,2023-04-30 19:18:00
183960999,804,182,2023-04-30 19:19:00
183962923,1031,234,2023-04-30 19:49:00
183966051,1065,223,2023-04-30 20:50:00
183969989,926,201,2023-04-30 22:07:00
183970220,8,8,2023-04-30 22:10:00
183970553,673,176,2023-04-30 22:16:00
183972218,787,211,2023-04-30 22:45:00
183973247,900,205,2023-04-30 23:04:00
183978427,821,150,2023-05-01 01:08:00
183978486,653,147,2023-05-01 01:09:00
183983232,664,143,2023-05-01 03:24:00
183985879,610,137,2023-05-01 05:04:00
183990126,794,163,2023-05-01 07:52:00
183992992,24,21,2023-05-01 09:38:00
183993796,720,194,2023-05-01 10:08:00
183997054,755,182,2023-05-01 11:49:00
183997102,12,8,2023-05-01 11:50:00
184000188,875,200,2023-05-01 13:00:00
184002838,865,212,2023-05-01 13:58:00
184005537,1061,243,2023-05-01 14:56:00
184007599,836,219,2023-05-01 15:35:00
184009436,853,247,2023-05-01 16:07:00
184011628,829,255,2023-05-01 16:49:00
184013609,797,247,2023-05-01 17:24:00
184017944,856,225,2023-05-01 18:49:00
184020341,754,194,2023-05-01 19:35:00
184022217,933,207,2023-05-01 20:15:00
184025189,961,226,2023-05-01 21:18:00
184027705,873,217,2023-05-01 22:12:00
184030658,1044,211,2023-05-01 23:15:00
184033121,896,200,2023-05-02 00:09:00
184035172,972,204,2023-05-02 00:50:00
